username, created_at, lng, lat, text
SLCScanner, Mon Feb 01 23:05:55 +0000 2021, -111.992317, 40.603071, 🏌️‍♂️ Police: SLC man arrested after he tried to conceal golf club in pants, stole other items https://t.co/QMRJIS2t6p via @GephardtDaily 
artby_tam_, Mon Feb 01 23:05:55 +0000 2021, -83.099288, 42.352787, Big news! My piece “Struggle Sold Separately” was selected for a year long exhibition today! This will be my FIRS… https://t.co/6GbhkolbtY 
carlii_ii, Mon Feb 01 23:05:55 +0000 2021, -118.222017, 33.884968, The fact that I really be laughing with Cory on his videos, yea he’s one of my fav YouTubers now 
nathancarterjr, Mon Feb 01 23:05:55 +0000 2021, -100.076888, 31.168893, @CapNationKyle Do you need my Bitcoin account?🤣🤣🤣 
flexibletactics, Mon Feb 01 23:05:55 +0000 2021, -90.247824, 38.653771, @GoodKidManCity @tkaur25 😇 
EveylnM67, Mon Feb 01 23:05:55 +0000 2021, -79.420865, 38.003376, We only get one chance to help the masses.I pray that the 1.9 trillion will be enough because this will be our onl… https://t.co/6suqdTgpHU 
artby_tam_, Mon Feb 01 23:05:56 +0000 2021, -83.099288, 42.352787, This piece was born out of the thought that “They want our rhythm and not our blues.. our culture without consequen… https://t.co/Ky57u9LLpy 
Maxperado, Mon Feb 01 23:05:56 +0000 2021, -80.244984, 36.087169, @ABC I had a 7 footer crawl up in my 99 @Ford Explorer. Called animal control several times busy signal. Called… https://t.co/dutlz2UlAF 
docpurcell, Mon Feb 01 23:05:56 +0000 2021, -79.420865, 38.003376, Board has added some resolutions to consent agenda include recognizing spelling bee winner and added discussion of… https://t.co/1PRh6VCXyN 
artby_tam_, Mon Feb 01 23:05:56 +0000 2021, -83.099288, 42.352787, I created this piece last year in June in relationship to the Black Lives Matter protests happening across the coun… https://t.co/PDVtlufh5N 
MayorBroome, Mon Feb 01 23:05:56 +0000 2021, -91.090800, 30.459100, Black History Month is a time where our nation reflects on the moments to which African Americans have contributed… https://t.co/bLd8A00mk6 
WAWA_ENTHUSIAST, Mon Feb 01 23:05:56 +0000 2021, -74.188035, 40.001340, davidson is lying 
artby_tam_, Mon Feb 01 23:05:56 +0000 2021, -83.099288, 42.352787, I’m truly honored to have my piece showcased for 365 DAYS in the heart of East Dearborn 😭 like I’m so close to tears right now 
704BlckJack, Mon Feb 01 23:05:56 +0000 2021, -80.846785, 35.209059, I'm raising money for BlckJack's Dream Fund. Click to Donate:  https://t.co/XaNKgUcHTv via @gofundme 
jocelyn17__, Mon Feb 01 23:05:56 +0000 2021, -94.976601, 29.767947, https://t.co/tyiDkHq7qF 
TristenJWinger, Mon Feb 01 23:05:56 +0000 2021, -118.411907, 34.020789, @DerriusLogan Happy Birthday bruh🎈🎉 
ashingtonn, Mon Feb 01 23:05:56 +0000 2021, -84.296906, 33.772208, 😂😂😂😂😂 
mattdaviesteam, Mon Feb 01 23:05:56 +0000 2021, -81.377500, 28.542100, Thanks for the pep talk Duff! Always great to collaborate with the best! #cbrealty #mattdaviesteam… https://t.co/F2WLyXt5Cq 
wetesnik, Mon Feb 01 23:05:57 +0000 2021, -98.540651, 29.417501, @CrenshawPhD @Tish_H_Warren Hopefully you come out stronger... 
yer_pete, Mon Feb 01 23:05:57 +0000 2021, -74.280358, 40.609834, Mood 🤣 https://t.co/pGL282HvVj 
Cassperloc, Mon Feb 01 23:05:57 +0000 2021, -115.135165, 36.060964, @XXL https://t.co/k7sHnH8Hqt 
Shaun__Keating, Mon Feb 01 23:05:57 +0000 2021, -75.298146, 40.277013, @wendy08724 Kosher slices 
KenzeeMason, Mon Feb 01 23:05:57 +0000 2021, -80.181835, 38.920142, @BCWBB thank you, that W is coming! 💪🏽 
jericollage70, Mon Feb 01 23:05:58 +0000 2021, -122.330602, 47.614817, @colorworldbooks @KiraBuckland @TheMorganBerry @JackieLastra Oh I will. But I'm gonna have to reschedule in another day. 
BeeeMBeezy, Mon Feb 01 23:05:58 +0000 2021, -83.173867, 32.678207, @ZachAmes Prayers 🆙 my man @ZachAmes @amesLangArts 
PghSportsNow, Mon Feb 01 23:05:57 +0000 2021, -80.277402, 40.607608, Keith Dambrot, Duquesne Ready for UPMC Cooper Fieldhouse Debut Vs. Dayton https://t.co/B0iLpYWwlQ via @pghsportsnow… https://t.co/GLXcNCqBfc 
AnnaDsays, Mon Feb 01 23:05:58 +0000 2021, -97.754724, 30.323346, @PalleyKara @steelerfanaticx 😬 
CanadaOooh, Mon Feb 01 23:05:58 +0000 2021, -79.036229, 43.782829, #cdnpoli#Canada#uspoli#Science#gravity"I don't care what #Galileo said about objects falling at the same rate… https://t.co/oiBTbnNyId 
aniazeee, Mon Feb 01 23:05:58 +0000 2021, -87.732013, 41.833585, Who pepper sprays children in an emotional distress ?! Th!! 
ova6feet, Mon Feb 01 23:05:58 +0000 2021, -86.270540, 45.001180, Goat 
kevinpg18, Mon Feb 01 23:05:58 +0000 2021, -84.385063, 39.242021, #ETH looking good! The value of diversification! 
Yoni_Thief, Mon Feb 01 23:05:58 +0000 2021, -122.258957, 38.009625, I've only gotten out my bed once today 🙃 
itsdavidjon, Mon Feb 01 23:05:58 +0000 2021, -77.604684, 41.117936, i barely listen to anyone’s music anymore except @its_connorjames lmfao it’s a blessing and a curse brother 
CornDogger_, Mon Feb 01 23:05:58 +0000 2021, -118.411907, 34.020789, Just seen someone at a bus stop with a LV bag and Gucci shoes 😂😂 homie going broke trynna look rich ☝🏻💯 
_WarrenMac, Mon Feb 01 23:05:58 +0000 2021, -73.948775, 40.655138, @jackss0_0 I see it in screenshots sometimes and I just wonder why? Lol it’s useless 
tmj_SAC_schn, Mon Feb 01 23:05:58 +0000 2021, -121.272219, 38.134148, Nervous to apply for a job like "Forklift Operator - Sit Down" at ProLogistix? Apply even if you're not a 100% matc… https://t.co/WjoePvWuTz 
x_peachy_peach, Mon Feb 01 23:05:59 +0000 2021, -122.551856, 47.111487, @_imaniyeah2x Thats it there😍😍 
GeorgiaHSCheer, Mon Feb 01 23:05:59 +0000 2021, -83.173867, 32.678207, Good luck to the Mt. Paran Christian Eagles as you prepare for Sectionals this weekend! #ghsacheer2021 
tmj_WAR_sales, Mon Feb 01 23:05:59 +0000 2021, -118.315270, 46.081956, Click the link in our bio to see currently open #Sales jobs like "Dollar Tree - Sales Floor Associate $16-$35/hr" a… https://t.co/H16OPNk1fL 
CoachOnkka, Mon Feb 01 23:05:59 +0000 2021, -87.204659, 30.454791, This week’s episode Take a listen below. #AttackTheDay #TheProcess #Coaching101 #EmptyTheTanks… https://t.co/fwCzRYem9S 
BennyBean1318, Mon Feb 01 23:05:59 +0000 2021, -86.142922, 39.779562, @Mark_J_Boyle Is there a reason why every journalism job in sports people lean left?   Not being a jerk.  Genuinely curious. 
Zlotyluke, Mon Feb 01 23:05:59 +0000 2021, -122.061771, 47.678813, GIVEN, BUT NEVER EARNED 
ThisIsUmber, Mon Feb 01 23:05:59 +0000 2021, -122.228685, 37.791994, Tone Magazine. Creating a platform for #Black #men to build community with one another based on shared experiences,… https://t.co/4Z2d0wXtPg 
awjr21, Mon Feb 01 23:05:59 +0000 2021, -85.491540, 32.597245, @AGreeneIV let's get that Henry Harris Classic back going. 
DUhockeyFan, Mon Feb 01 23:05:59 +0000 2021, -77.090869, 38.817380, Crazy: Couple Forced to Adopt Their Own Children After a Surrogate Pregnancy https://t.co/jQrGM0PeTu via @nytimes… https://t.co/1Byqv2l133 
brendal46709924, Mon Feb 01 23:06:00 +0000 2021, -122.435979, 37.770657, ARENA Y FMLN acuerdan no agredirse en San Martín.mpg https://t.co/QKt5j9kbVV vía @YouTube y ahora lo volvieron acor… https://t.co/zoCs5nYQ1A 
rstapholz, Mon Feb 01 23:05:59 +0000 2021, -112.219243, 33.630975, Last night I drove up to Peoria Sportsplex to capture photos and videos of the Roller Disco West Valley event hoste… https://t.co/AY5sQLaSo6 
bisexualsavage, Mon Feb 01 23:06:00 +0000 2021, -89.922029, 35.133521, @heavydick7 Pull up 😂 
meezy_world, Mon Feb 01 23:06:00 +0000 2021, -80.045939, 32.914424, You talk to much bra 
SirJohnPena, Mon Feb 01 23:06:00 +0000 2021, -98.540651, 29.417501, Ah yes, God himself has arrived 
sabrinafranza, Mon Feb 01 23:06:00 +0000 2021, -73.950000, 40.650000, When your day off falls on a snow day MOOD 😂🔥.#nyc #brooklyn #snow #snowday #noreaster #weekend @ Brooklyn, New Y… https://t.co/7DVwbkwY9X 
jayyeneff, Mon Feb 01 23:06:00 +0000 2021, -118.374351, 33.995629, I hope the girl who did my covid tests is having a good day 🥺 
lukepennington5, Mon Feb 01 23:06:00 +0000 2021, -76.444969, 39.387716, @Tucas_Lompson @humdrummuffin who’s stuff 
lupitaveexo, Mon Feb 01 23:06:00 +0000 2021, -95.446486, 29.838495, I’m convinced STEM people didn’t pay attention in their core classes Bc y’all stupid https://t.co/uygV0Ezwlk 
JoeDuncanNYCSGP, Mon Feb 01 23:06:00 +0000 2021, -73.968542, 40.780709, @ianbremmer All 3 bad 
squintsbabe, Mon Feb 01 23:06:00 +0000 2021, -119.306608, 37.269176, FUCK cancer!! Rest In Peace @brookabas beautiful girl you will be missed by many❤️ 
IsaiahRobledo15, Mon Feb 01 23:06:00 +0000 2021, -95.446486, 29.838495, https://t.co/t6tAkTgl3F 
blvcklunaaa, Mon Feb 01 23:06:01 +0000 2021, -90.011008, 29.982601, 👸🏽 
the_cooler, Mon Feb 01 23:06:01 +0000 2021, -93.695404, 42.035567, Ugh 
kez_sparks, Mon Feb 01 23:06:01 +0000 2021, -79.616073, 43.555244, Be safe - #lockdown &amp; now #bushfires - ugh tough times - #staystrong #Perth @WestAustralia 
w8stegyal, Mon Feb 01 23:06:01 +0000 2021, -76.472781, 39.354689, This catfish episode reminds me of the talhotblond movie 
trey_spann2, Mon Feb 01 23:06:01 +0000 2021, -96.835249, 33.150140, @DrGHardy @Ck2Sports Appreciate it! 
imseauxcray, Mon Feb 01 23:06:01 +0000 2021, -90.232393, 29.936149, Nah look at the. @_fournette @Mathieu_Era #2600 always run it. https://t.co/R3sBouUFJy 
aaren__x, Mon Feb 01 23:06:02 +0000 2021, -73.948775, 40.655138, LMAO 
IT_Retail, Mon Feb 01 23:06:02 +0000 2021, -117.288297, 34.247048, Store highlight, one of our customer’s store location. Family owned and operated for over 70+ years! I hope everyon… https://t.co/hYXM2PJRWA 
auxcmndr, Mon Feb 01 23:06:02 +0000 2021, -87.881078, 41.738571, @_kayladilla Lol just a lil steep is all https://t.co/I5sH1uKUmP 
firedogphotos, Mon Feb 01 23:06:02 +0000 2021, -122.074875, 47.743503, This is Wendy. Wendy. She’s the  kick butt driver of Engine 11 on C-shift. Say “Hi” to Wendy.@WomenOf911… https://t.co/w15YLzWx45 
michizzlep, Mon Feb 01 23:06:02 +0000 2021, -118.136676, 34.085597, I tried to make a cake without a recipe and it was doodoo 
SassySam1201, Mon Feb 01 23:06:02 +0000 2021, -74.153947, 40.572376, @dfanizzzi @PhilClinton14 It’s soooo good I’m obsessed but you literally don’t need to watch the movies to watch the show I promise 
Tim_22_Preston, Mon Feb 01 23:06:02 +0000 2021, -73.763825, 42.739121, @WSBChairman And $link and $ada and $vet and $eth 
Kiezz9, Mon Feb 01 23:06:03 +0000 2021, -80.146568, 39.478155, @t_phillly preciate it coach! 
DavidLovesDrag, Mon Feb 01 23:06:03 +0000 2021, -83.157747, 42.507218, @naomismallsduh hey 
